,term-or-expression,explicit-or-implicit,lemma,en-contextual-label,en-hate-label,label,pos,id,category,stereotype,level
2784,,,mongrelized,,,,n,EN1251,cds,no,inclusive
2785,,,moralization,,,,n,EN3570,dmc,yes,inclusive
2786,,,peanis,,,,n,EN5130,asm,no,inclusive
2787,,,bloopers,,,,n,EN1381,cds,no,inclusive
2788,,,prince adam,,,,n,EN1405,an,no,conservative
2789,,,vainest,,,,n,EN1679,svp,no,conservative
2790,,,porker,,,,n,EN5564,an,no,conservative
2791,,,stuff,,,,v,EN6645,cds,no,inclusive
2792,,,colwort,,,,n,EN2276,or,no,inclusive
2793,,,grungecore,,,,n,EN3135,cds,no,inclusive
2794,,,parvenus,,,,n,EN6614,cds,no,inclusive
2795,,,scalawag,,,,n,EN1108,cds,no,conservative
2796,,,woman of the street,,,,n,EN884,pr,no,conservative
2797,,,pretender,,,,n,EN3195,dmc,yes,conservative
2798,,,demanding,,,,a,EN6822,cds,no,conservative
2799,,,ragamuffin,,,,n,EN6858,is,yes,conservative
2800,,,carrionism,,,,n,EN1840,cds,no,inclusive
2801,,,prostitutes,,,,n,EN4419,pr,no,inclusive
2802,,,🐂,,,,n,EN5556,an,no,inclusive
2803,,,vulgarism,,,,n,EN2190,an,no,conservative
2804,,,butcher,,,,n,EN1414,qas,no,conservative
2805,,,unlettered,,,,a,EN362,ddp,yes,conservative
2806,,,underparts,,,,n,EN3261,om,no,inclusive
2807,,,bloomer,,,,n,EN1394,qas,no,inclusive
2808,,,uprooter,,,,n,EN2995,ps,yes,conservative
2809,,,man-crazy,,,,n,EN6316,cds,no,conservative
2810,,,catedratico,,,,n,EN2265,pa,yes,inclusive
2811,,,put-on,,,,n,EN308,cds,no,inclusive
2812,,,harlot,,,,n,EN894,an,no,conservative
2813,,,fancy man,,,,n,EN3763,cds,no,conservative
2814,,,simple,,,,n,EN521,asf,no,conservative
2815,,,segregated,,,,a,EN3809,is,yes,inclusive
2816,,,unseasonable,,,,a,EN5055,is,yes,inclusive
2817,,,niggarly,,,,n,EN718,svp,no,conservative
2818,,,loan-sharking,,,,n,EN6517,cds,no,inclusive
